Fecha,Producto,Cantidad,Precio,Descuento
2024-03-01,Manzanas,5,1.5,0.1
2024-10-02,Peras,3,1.2,0.2
2024-03-03,Naranjas,7,0.8,0.0
2024-03-04,Platanos,10,0.5,0.05
2024-10-05,Sandias,1,5.0,0.3
2024-10-06,Melones,4,4.0,0.25
2024-03-07,Mangos,2,1.8,0.1
2024-03-08,Fresas,6,2.5,0.15
2024-03-09,Cerezas,8,3.0,0.2
2024-03-03,Uvas,9,2.2,0.05
2024-03-11,Kiwi,12,1.7,0.1
2024-03-12,Papaya,15,3.5,0.2
2024-03-13,Duraznos,11,1.6,0.05
2024-10-14,Nectarinas,14,1.9,0.1
2024-10-15,Ciruelas,13,2.1,0.15
2024-10-16,Arandanos,5,4.2,0.3
2024-10-17,Frambuesas,7,3.1,0.2
2024-10-18,Limas,3,1.3,0.1
2024-10-19,Limones,8,1.0,0.05
2024-10-20,Mandarinas,6,2.8,0.2
